study_year,demographic_scope,age_code,age_group,sex_code,sex,beneficiaries,boxes,open_medic_source_file,population_average,population_start_status,population_end_status,beneficiary_rate_per_100000,beneficiary_rate_index_2020,beneficiary_rate_percentage_change,beneficiary_measure_status,amendment_id,analysis_version,denominator_source_file
2025,age_sex,60,60 years or older,2,Female,265244,2631947,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,10786630,provisional,early,2459.007122706536,209.54025680795715,16.490281376168348,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2020,sex,ALL,All ages,1,Male,221340,2297486,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,32698445,not_specified,definitive,676.9129235350489,100,,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2021,sex,ALL,All ages,1,Male,275174,2762600,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,32867386.5,definitive,definitive,837.225071120273,123.68283157426283,23.68283157426283,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,sex,ALL,All ages,1,Male,337648,3387841,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,33063784.5,definitive,definitive,1021.2019135317071,150.86163641235783,21.974597842042478,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2023,sex,ALL,All ages,1,Male,404470,4061619,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,33227268,definitive,provisional,1217.283346918561,179.828646284596,19.201044454443796,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2024,sex,ALL,All ages,1,Male,417208,4073092,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,33357171,provisional,provisional,1250.729565765634,184.76963908946175,2.747611633046576,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2025,sex,ALL,All ages,1,Male,491941,4755936,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,33485442.5,provisional,early,1469.1190059680412,217.0321993995693,17.460964078891017,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2020,sex,ALL,All ages,2,Female,190041,1981524,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,34871025.5,not_specified,definitive,544.9825385835011,100,,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2021,sex,ALL,All ages,2,Female,233615,2345565,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,35011262.5,definitive,definitive,667.2567148928148,122.43634752539492,22.43634752539492,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,sex,ALL,All ages,2,Female,286592,2852033,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,35168740.5,definitive,definitive,814.905498250641,149.52873542860914,22.12773285939038,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2023,sex,ALL,All ages,2,Female,346012,3412220,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,35294342,definitive,provisional,980.3611015045981,179.88853442033525,20.30365528385081,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2024,sex,ALL,All ages,2,Female,360548,3408761,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,35388015.5,provisional,provisional,1018.8420992411965,186.94949417816835,3.9251861051545323,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2025,sex,ALL,All ages,2,Female,432945,4068810,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,35481553.5,provisional,early,1220.1974189207922,223.8966081541411,19.763152683773,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
