study_year,region_code,region_name,beneficiaries,boxes,reimbursement_base_eur,reimbursed_expenditure_eur,open_medic_source_file,population_average,denominator_strata,beneficiary_rate_per_100000,boxes_per_100000,beneficiaries_absolute_change,beneficiaries_percentage_change,beneficiary_rate_absolute_change,beneficiary_rate_percentage_change,boxes_percentage_change,beneficiary_measure_status,additive_measure_status,historical_window_amendment_id,amendment_id,analysis_version,denominator_source_file
2023,5,Overseas regions and departments,38538,350517,36161679.06,35163943.3,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,2248777,6,1713.7315082820573,15587.0057368961,6989,22.15284161146154,296.7478254449461,20.942218957016646,19.200764480235065,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,52,Pays de la Loire,35335,362305,28964497.58,28448536.41,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,3917013.5,6,902.090329788243,9249.521350896544,5586,18.77710175131937,137.96038582974734,18.0545713357414,20.297568847244452,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,53,Bretagne,24058,247076,19898641.37,19535623.37,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,3459540.5,6,695.4102719710897,7141.873321037866,4193,21.10747545935061,117.28516965691597,20.28716089085836,21.872610773776337,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,75,Nouvelle-Aquitaine,65821,677855,54292459.6,53303420.99,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,6166168,6,1067.453887081896,10993.132201393151,10538,19.061917768572624,165.89250762759002,18.40057830871158,18.92318164752611,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,76,Occitanie,63281,624245,49922148.74,48589528.33,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,6145261,6,1029.752845322599,10158.152761941275,10547,20.000379261956237,165.64238390655487,19.169121461058538,19.33797243304212,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,84,Auvergne-Rhône-Alpes,77425,774086,62106058.39,60604701.46,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,8221946,6,941.6870409997828,9414.875748393386,12551,19.3467336683417,149.06376204969513,18.806382049130033,18.32540763465662,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2023,93,Provence-Alpes-Côte d'Azur and Corse,64860,622245,49699886.09,47923244.45,data/raw/open_medic/2023/atc4/NB_2023_atc4_reg.CSV.gz,5592820.5,6,1159.7010846316273,11125.781705313088,11307,21.11366310010643,194.4372795639788,20.143434213857425,20.154904039438538,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,11,Île-de-France,126910,1144585,90029183.02,85272061.67,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,12528415,6,1012.9773000016363,9135.912244286288,7910,6.647058823529406,59.856773385725546,6.280084387464524,4.126354247120934,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,24,Centre-Val de Loire,31415,296479,23349682.97,22860116.53,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,2588156,6,1213.798550010123,11455.221400873826,291,0.9349697982264482,10.94724672475536,0.9101080652990978,-3.764955628120148,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2024,27,Bourgogne-Franche-Comté,37212,354661,27988328.8,27357008.63,data/raw/open_medic/2024/atc4/NB_2024_atc4_reg.CSV.gz,2798529,6,1329.6985666398311,12673.122200984873,-118,-0.31609965175461996,-2.837553370520709,-0.2129438240292214,-6.490243278659136,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
